Redshift	Magnitude
0.3024	22.0549
0.10924	19.47415
0.08522	18.716573
0.20231	20.782139
0.12649	19.808548
0.21457	20.88535
0.32045	21.537605
0.21835	21.098936
0.1901	20.632628
0.09243	18.939486
0.37986	21.922589
0.21134	21.20352
0.25833	21.619985
0.18327	21.108509
0.21295	20.819745
0.11651	19.419454
0.14401	19.969519
0.25249	21.349051
0.25539	21.432154
0.21698	21.069215
1.265901	25.735598
0.935774	24.481915
0.049519	17.762489
0.030325	16.239518
0.074579	18.465664
0.025198	16.317246
0.014411	14.476032
0.020792	15.116795
0.035218	16.754961
0.041657	17.62515
0.0424	17.347518
0.018902	15.783958
0.07884	18.314101
0.063345	18.292783
0.027637	16.067616
0.049325	17.841201
0.070153	18.445046
0.023909	16.695978
0.053126	17.645061
0.024951	16.311743
0.015664	14.780119
0.048984	17.075749
0.022399	16.021035
0.034854	16.664677
0.016966	15.351431
0.030721	16.647115
0.030482	16.849731
0.01055	14.449314
0.014256	15.128363
0.027688	16.076604
0.05386	17.557966
0.017672	14.836398
0.01745	15.122099
0.015573	14.726182
0.01006	14.148421
0.054931	17.892389
0.039083	16.773853
0.078317	18.420978
0.031764	16.789918
0.01444	14.843842
0.013533	14.381711
0.026677	16.034919
0.02336	15.581359
0.036934	17.077342
0.023552	16.554284
0.017483	15.364415
0.040259	16.947362
0.030381	16.215141
0.015504	14.71178
0.014151	15.283561
0.015487	15.285545
0.015554	15.047556
0.037075	16.620416
0.015482	15.08025
0.013324	14.882717
0.014575	14.66139
0.015791	14.557266
0.024746	16.341106
0.027748	16.657319
0.010888	14.557203
0.013652	14.685508
0.035755	16.778327
0.024725	16.238326
0.038086	16.644355
0.021541	15.7472
0.019581	15.660096
0.030416	16.684369
0.039219	16.699328
0.034971	16.971121
0.028561	16.482973
0.020997	15.875946
0.032538	17.000951
0.015469	15.064971
0.015678	14.68323
0.027499	17.152881
0.046856	17.452691
0.033173	17.370053
0.010291	14.157498
0.080103	18.471039
0.012317	14.875843
0.024586	15.865712
0.014467	15.638553
0.015154	14.834769
0.029086	16.284531
0.034781	16.450122
0.04492	17.322622
0.034074	16.764211
0.07487	18.411792
0.01496	15.489034
0.020396	15.541531
0.040689	17.617164
0.026567	16.16147
0.026881	15.922518
0.023471	16.158253
0.069122	18.394173
0.065193	18.095053
0.02298	16.454585
0.017387	14.99845
0.031485	16.462073
0.011184	14.342973
0.021956	16.206993
0.031484	16.911564
0.023321	16.024534
0.02039	15.743711
0.022466	15.970889
0.033614	16.968737
0.036969	17.409901
0.022629	15.990616
0.0147	15.058086
0.03695	18.130272
0.060959	17.836262
0.059289	18.195512
0.069751	18.412215
0.029526	16.835065
0.033255	16.841219
0.024159	16.150168
0.015999	15.719765
0.062961	17.798492
0.021706	15.90219
0.031638	16.58094
0.018599	15.89331
0.027064	16.504006
0.025468	15.797848
0.02381	15.895501
0.023867	16.068268
0.022068	15.71854
